BIN,Network,CardType,CardCategory,Issuer
484893,VISA,CREDIT,INFINITE,TSESNABANK JSC
484634,VISA,CREDIT,PLATINUM,BANK CENTER CREDIT
484197,VISA,DEBIT,ELECTRON,JSC ATF BANK
483778,VISA,DEBIT,CLASSIC,VTB BANK (KAZAKHSTAN) SUBSIDIARY JSC
483470,VISA,DEBIT,ELECTRON,HOME CREDIT BANK JSC
482316,VISA,DEBIT,,
479068,VISA,DEBIT,ELECTRON,JSC ATF BANK
478758,VISA,CREDIT,,ABN AMRO BANK KAZAKHSTAN
478757,VISA,DEBIT,ELECTRON,JSC SB RBS (KAZAKHSTAN)
478756,VISA,DEBIT,GOLD,JSC SB RBS (KAZAKHSTAN)
478755,VISA,DEBIT,CLASSIC,JSC SB RBS (KAZAKHSTAN)
477999,VISA,CREDIT,BUSINESS,OJSC BANK TURANALEM
477998,VISA,CREDIT,GOLD,OJSC BANK TURANALEM
476284,VISA,DEBIT,INFINITE,JSC HALYK SAVINGS BANK OF KAZAKHSTAN
476283,VISA,DEBIT,PLATINUM,JSC HALYK SAVINGS BANK OF KAZAKHSTAN
475771,VISA,CREDIT,PLATINUM,JSC HALYK SAVINGS BANK OF KAZAKHSTAN
474809,VISA,DEBIT,BUSINESS,VTB BANK (KAZAKHSTAN) SUBSIDIARY JSC
474808,VISA,DEBIT,INFINITE,VTB BANK (KAZAKHSTAN) SUBSIDIARY JSC
474807,VISA,DEBIT,PLATINUM,VTB BANK (KAZAKHSTAN) SUBSIDIARY JSC
471271,VISA,CREDIT,PLATINUM,KASPI BANK JSC
470713,VISA,CREDIT,CORPORATE T&E,CJSC CITIBANK KAZAKHSTAN
467783,VISA,DEBIT,,HSBC BANK KAZAKHSTAN JSC
467562,VISA,DEBIT,ELECTRON,KAZKOMMERTSBANK
467561,VISA,DEBIT,GOLD,KAZKOMMERTSBANK
467560,VISA,DEBIT,CLASSIC,KAZKOMMERTSBANK
466720,VISA,DEBIT,ELECTRON,BANK CENTER CREDIT
466708,VISA,DEBIT,ELECTRON,BANK CENTER CREDIT
465819,VISA,CREDIT,PLATINUM,OJSC BANK TURANALEM
463743,VISA,DEBIT,ELECTRON,TSESNABANK JSC
462819,VISA,CREDIT,INFINITE,BANK CENTER CREDIT
462818,VISA,DEBIT,INFINITE,BANK CENTER CREDIT
462781,VISA,CREDIT,,HALYK SAVINGS BANK OF KAZAKHSTAN
462780,VISA,DEBIT,ELECTRON,KAZKOMMERTSBANK
462523,VISA,DEBIT,ELECTRON,VTB BANK (KAZAKHSTAN) SUBSIDIARY JSC
462522,VISA,CREDIT,GOLD,VTB BANK (KAZAKHSTAN) SUBSIDIARY JSC
462466,VISA,DEBIT,,
462000,VISA,DEBIT,VISA BUSINESS,JSC ATF BANK
458261,VISA,DEBIT,CLASSIC,TSESNABANK JSC
458260,VISA,CREDIT,PLATINUM,TSESNABANK JSC
457986,VISA,CREDIT,,OJSC BANK TURANALEM
457930,VISA,DEBIT,ELECTRON,JSC SUBSIDIARY BANK ALFA-BANK
457836,VISA,DEBIT,ELECTRON,SB SBERBANK JSC
457835,VISA,CREDIT,INFINITE,SB SBERBANK JSC
457834,VISA,CREDIT,PLATINUM,SB SBERBANK JSC
457833,VISA,CREDIT,GOLD,SB SBERBANK JSC
457832,VISA,CREDIT,CLASSIC,SB SBERBANK JSC
457441,VISA,CREDIT,INFINITE,FORTEBANK JSC
457439,VISA,DEBIT,ELECTRON,FORTEBANK JSC
457438,VISA,DEBIT,BUSINESS,FORTEBANK JSC
457437,VISA,DEBIT,GOLD,FORTEBANK JSC
457436,VISA,DEBIT,CLASSIC,FORTEBANK JSC
453571,VISA,CREDIT,BUSINESS,BANK CENTER CREDIT
452676,VISA,CREDIT,,
452647,VISA,CREDIT,,
452440,VISA,CREDIT,CLASSIC,JSC HALYK SAVINGS BANK OF KAZAKHSTAN
451886,VISA,CREDIT,,
450286,VISA,DEBIT,ELECTRON,JSC HALYK SAVINGS BANK OF KAZAKHSTAN
450195,VISA,DEBIT,BUSINESS,
450189,VISA,DEBIT,CLASSIC,
448568,VISA,CREDIT,PURCHASING,
448325,VISA,CREDIT,BUSINESS,HALYK SAVINGS BANK OF KAZAKHSTAN
448318,VISA,DEBIT,CLASSIC,OJSC BANK TURANALEM
448317,VISA,CREDIT,,ABN AMRO BANK KAZAKHSTAN
447706,VISA,DEBIT,BUSINESS,KAZKOMMERTSBANK
447705,VISA,DEBIT,INFINITE,KAZKOMMERTSBANK
447704,VISA,DEBIT,PLATINUM,KAZKOMMERTSBANK
447178,VISA,DEBIT,GOLD,JSC HALYK SAVINGS BANK OF KAZAKHSTAN
447176,VISA,DEBIT,CLASSIC,JSC HALYK SAVINGS BANK OF KAZAKHSTAN
446929,VISA,DEBIT,INFINITE,SB SBERBANK JSC
446375,VISA,DEBIT,PLATINUM,BANK CENTER CREDIT
446374,VISA,DEBIT,ELECTRON,BANK CENTER CREDIT
446373,VISA,CREDIT,GOLD,BANK CENTER CREDIT
446372,VISA,CREDIT,CLASSIC,BANK CENTER CREDIT
444840,VISA,DEBIT,,
444482,VISA,DEBIT,CLASSIC,JSC BTA BANK
443865,VISA,CREDIT,GOLD,JSC SB RBS (KAZAKHSTAN)
443864,VISA,CREDIT,CLASSIC,JSC SB RBS (KAZAKHSTAN)
442479,VISA,DEBIT,INFINITE,SB SBERBANK JSC
442478,VISA,DEBIT,PLATINUM,SB SBERBANK JSC
442477,VISA,DEBIT,GOLD,SB SBERBANK JSC
442464,VISA,DEBIT,CLASSIC,SB SBERBANK JSC
441329,VISA,DEBIT,ELECTRON,TSESNABANK JSC
441328,VISA,CREDIT,GOLD,TSESNABANK JSC
441327,VISA,CREDIT,CLASSIC,TSESNABANK JSC
440617,VISA,DEBIT,CLASSIC,OJSC BANK TURANALEM
440565,VISA,CREDIT,,KAZKOMMERTSBANK
440564,VISA,DEBIT,ELECTRON,KAZKOMMERTSBANK
440563,VISA,DEBIT,GOLD,KAZKOMMERTSBANK
440562,VISA,CREDIT,CLASSIC,KAZKOMMERTSBANK
440259,VISA,CREDIT,,JSC HALYK SAVINGS BANK OF KAZAKHSTAN
440258,VISA,CREDIT,,JSC HALYK SAVINGS BANK OF KAZAKHSTAN
440257,VISA,DEBIT,ELECTRON,JSC HALYK SAVINGS BANK OF KAZAKHSTAN
440256,VISA,CREDIT,GOLD,JSC HALYK SAVINGS BANK OF KAZAKHSTAN
440254,VISA,CREDIT,CLASSIC,JSC HALYK SAVINGS BANK OF KAZAKHSTAN
440128,VISA,DEBIT,ELECTRON,NURBANK JSC
440127,VISA,DEBIT,BUSINESS,NURBANK JSC
440126,VISA,DEBIT,GOLD,NURBANK JSC
440125,VISA,DEBIT,CLASSIC,NURBANK JSC
439988,VISA,DEBIT,BUSINESS,JSC EURASIAN BANK
439987,VISA,DEBIT,ELECTRON,JSC EURASIAN BANK
439986,VISA,DEBIT,GOLD,JSC EURASIAN BANK
439985,VISA,DEBIT,CLASSIC,JSC EURASIAN BANK
439223,VISA,DEBIT,ELECTRON,OJSC TEMIRBANK
439222,VISA,CREDIT,BUSINESS,OJSC TEMIRBANK
439221,VISA,CREDIT,GOLD,OJSC TEMIRBANK
439220,VISA,CREDIT,CLASSIC,OJSC TEMIRBANK
439088,VISA,CREDIT,GOLD,JSC HALYK SAVINGS BANK OF KAZAKHSTAN
439087,VISA,DEBIT,CLASSIC,JSC HALYK SAVINGS BANK OF KAZAKHSTAN
433984,VISA,DEBIT,,HSBC BANK KAZAKHSTAN JSC
433969,VISA,DEBIT,,OJSC TEMIRBANK
433319,VISA,CREDIT,,JSC ATF BANK
433318,VISA,DEBIT,GOLD,JSC ATF BANK
433317,VISA,DEBIT,CLASSIC,JSC ATF BANK
433031,VISA,DEBIT,ELECTRON,BANKPOZITIV KAZAKHSTAN JSC
433030,VISA,CREDIT,GOLD,BANKPOZITIV KAZAKHSTAN JSC
433029,VISA,CREDIT,CLASSIC,BANKPOZITIV KAZAKHSTAN JSC
433021,VISA,CREDIT,,CJSC CITIBANK KAZAKHSTAN
433019,VISA,DEBIT,ELECTRON,CJSC CITIBANK KAZAKHSTAN
433017,VISA,DEBIT,CLASSIC,CJSC CITIBANK KAZAKHSTAN
431879,VISA,DEBIT,PLATINUM,JSC ATF BANK
431433,VISA,CREDIT,,KAZKOMMERTSBANK
431253,VISA,CREDIT,CLASSIC,JSC ATF BANK
430857,VISA,DEBIT,GOLD,
430852,VISA,CREDIT,GOLD,
430273,VISA,CREDIT,,FORTEBANK JSC
429969,VISA,CREDIT,INFINITE,JSC SUBSIDIARY BANK ALFA-BANK
429964,VISA,CREDIT,CLASSIC,JSC SUBSIDIARY BANK ALFA-BANK
429556,VISA,CREDIT,,HALYK SAVINGS BANK OF KAZAKHSTAN
429440,VISA,DEBIT,BUSINESS,JSC EURASIAN BANK
429439,VISA,DEBIT,GOLD,JSC EURASIAN BANK
429438,VISA,DEBIT,CLASSIC,JSC EURASIAN BANK
429017,VISA,DEBIT,CLASSIC,SB SBERBANK JSC
428957,VISA,DEBIT,ELECTRON,JSC DELTA BANK
428956,VISA,DEBIT,BUSINESS,JSC DELTA BANK
428955,VISA,DEBIT,GOLD,JSC DELTA BANK
428954,VISA,DEBIT,CLASSIC,JSC DELTA BANK
428790,VISA,CREDIT,,BANK CENTER CREDIT
428601,VISA,DEBIT,BUSINESS,CJSC CITIBANK KAZAKHSTAN
428600,VISA,DEBIT,GOLD,CJSC CITIBANK KAZAKHSTAN
427764,VISA,DEBIT,BUSINESS,JSC ATF BANK
427717,VISA,DEBIT,BUSINESS,KAZKOMMERTSBANK
427704,VISA,CREDIT,BUSINESS,JSC HALYK SAVINGS BANK OF KAZAKHSTAN
427362,VISA,DEBIT,BUSINESS,JSC SB RBS (KAZAKHSTAN)
427274,VISA,CREDIT,PLATINUM,FORTEBANK JSC
427273,VISA,DEBIT,CLASSIC,FORTEBANK JSC
427272,VISA,DEBIT,ELECTRON,FORTEBANK JSC
427067,VISA,DEBIT,CLASSIC,JSC SUBSIDIARY BANK ALFA-BANK
426904,VISA,DEBIT,CLASSIC,JSC SUBSIDIARY BANK ALFA-BANK
426903,VISA,DEBIT,PLATINUM,JSC SUBSIDIARY BANK ALFA-BANK
426739,VISA,DEBIT,BUSINESS,JSC SUBSIDIARY BANK ALFA-BANK
426738,VISA,DEBIT,GOLD,JSC SUBSIDIARY BANK ALFA-BANK
426737,VISA,DEBIT,ELECTRON,JSC SUBSIDIARY BANK ALFA-BANK
426736,VISA,DEBIT,ELECTRON,JSC SUBSIDIARY BANK ALFA-BANK
426668,VISA,DEBIT,CLASSIC,JSC ATF BANK
426346,VISA,DEBIT,BUSINESS,SB SBERBANK JSC
426345,VISA,DEBIT,ELECTRON,SB SBERBANK JSC
426344,VISA,DEBIT,GOLD,SB SBERBANK JSC
426343,VISA,DEBIT,CLASSIC,SB SBERBANK JSC
425889,VISA,DEBIT,INFINITE,NURBANK JSC
425699,VISA,DEBIT,ELECTRON,JSC BTA BANK
425680,VISA,DEBIT,ELECTRON,JSC BTA BANK
425565,VISA,CREDIT,,JSC KAZINVESTBANK
425564,VISA,DEBIT,BUSINESS,JSC KAZINVESTBANK
425563,VISA,DEBIT,ELECTRON,JSC KAZINVESTBANK
425562,VISA,DEBIT,GOLD,JSC KAZINVESTBANK
425561,VISA,DEBIT,CLASSIC,JSC KAZINVESTBANK
424524,VISA,CREDIT,INFINITE,JSC ALLIANCE BANK
424467,VISA,DEBIT,ELECTRON,KAZKOMMERTSBANK
423306,VISA,DEBIT,INFINITE,
423300,VISA,DEBIT,CLASSIC,
423208,VISA,DEBIT,INFINITE,JSC ATF BANK
423207,VISA,CREDIT,BUSINESS,JSC SB RBS (KAZAKHSTAN)
423196,VISA,DEBIT,,TSESNABANK JSC
422611,VISA,CREDIT,GOLD,FORTEBANK JSC
422440,VISA,DEBIT,CLASSIC,BANK CENTER CREDIT
422427,VISA,CREDIT,INFINITE,KASPI BANK JSC
422192,VISA,CREDIT,INFINITE,JSC HALYK SAVINGS BANK OF KAZAKHSTAN
422191,VISA,CREDIT,CLASSIC,JSC HALYK SAVINGS BANK OF KAZAKHSTAN
422126,VISA,DEBIT,INFINITE,JSC HALYK SAVINGS BANK OF KAZAKHSTAN
421986,VISA,CREDIT,PLATINUM,OJSC TEMIRBANK
420364,VISA,CREDIT,,SB SBERBANK JSC
420363,VISA,DEBIT,PLATINUM,SB SBERBANK JSC
419801,VISA,DEBIT,INFINITE,KAZKOMMERTSBANK
419394,VISA,DEBIT,ELECTRON,SB SBERBANK JSC
418977,VISA,DEBIT,,JSC KAZPOST
418976,VISA,DEBIT,BUSINESS,JSC KAZPOST
418975,VISA,DEBIT,ELECTRON,JSC KAZPOST
418974,VISA,DEBIT,GOLD,JSC KAZPOST
418973,VISA,DEBIT,CLASSIC,JSC KAZPOST
418901,VISA,CREDIT,GOLD,JSC KAZPOST
418900,VISA,CREDIT,CLASSIC,JSC KAZPOST
418838,VISA,CREDIT,,OJSC BANK TURANALEM
418082,VISA,DEBIT,PLATINUM,JSC SB RBS (KAZAKHSTAN)
418081,VISA,CREDIT,,
417803,VISA,CREDIT,,JSC ATF BANK
417779,VISA,DEBIT,ELECTRON,KAZKOMMERTSBANK
417665,VISA,CREDIT,,JSC BANK CASPIAN
417664,VISA,DEBIT,BUSINESS,KASPI BANK JSC
417663,VISA,DEBIT,ELECTRON,KASPI BANK JSC
417662,VISA,CREDIT,GOLD,KASPI BANK JSC
417661,VISA,CREDIT,CLASSIC,KASPI BANK JSC
417660,VISA,DEBIT,ELECTRON,KASPI BANK JSC
417434,VISA,DEBIT,ELECTRON,ASIACREDIT BANK JSC
417433,VISA,DEBIT,GOLD,ASIACREDIT BANK JSC
417432,VISA,DEBIT,CLASSIC,ASIACREDIT BANK JSC
417222,VISA,CREDIT,GOLD,DEMIR KYRGYZ INTERNATIONAL BANK
416443,VISA,DEBIT,ELECTRON,KAZKOMMERTSBANK
415602,VISA,DEBIT,CLASSIC,KAZKOMMERTSBANK
414623,VISA,DEBIT,ELECTRON,JSC HALYK SAVINGS BANK OF KAZAKHSTAN
414622,VISA,CREDIT,CLASSIC,JSC HALYK SAVINGS BANK OF KAZAKHSTAN
414621,VISA,DEBIT,CLASSIC,JSC HALYK SAVINGS BANK OF KAZAKHSTAN
413265,VISA,CREDIT,GOLD,KAZKOMMERTSBANK
413264,VISA,DEBIT,BUSINESS,TSESNABANK JSC
413263,VISA,DEBIT,ELECTRON,TSESNABANK JSC
413262,VISA,DEBIT,GOLD,TSESNABANK JSC
413261,VISA,DEBIT,CLASSIC,TSESNABANK JSC
412464,VISA,CREDIT,PLATINUM,JSC EURASIAN BANK
410799,VISA,CREDIT,CLASSIC,JSC BTA BANK
410729,VISA,DEBIT,BUSINESS,JSC BTA BANK
410728,VISA,CREDIT,PLATINUM,JSC BTA BANK
410727,VISA,CREDIT,GOLD,JSC BTA BANK
410726,VISA,DEBIT,CLASSIC,JSC BTA BANK
